review,sentiment
"After 21 movies and three years of working in Hollywood Bette Davis finally got a role she claimed as her own and which put her as a force to be reckoned with. As Mildred Rogers, Davis burst forth with a completely unsympathetic role of a slutty waitress who becomes the target of Leslie Howard's affections, and already eager to sink her teeth into a role like this, she had no qualms of the awful things her character was meant to do throughout the course of the film and the awful transformation she would undergo. It also has been widely noted that her performance here, one of the few things that makes this slightly uneven movie watchable, has been the one to remember even after two remakes and the scenes where she rips into Howard have made cinema history.<br /><br />At circa 85 minutes, the story moves at a nice pace, telling the story of Philip Carey (Howard) as his life crosses that of the destructive Mildred Rogers over and over again.<br /><br />Howard and Davis' chemistry is all but non-existent -- Davis sustained in an interview much later in life she personally didn't care much for Howard's iciness towards her and that helped her act even worse (in character) towards him as Mildred. All the same, the two seem awkward with one another; their scenes together remain stiff, only salvaged by the ferocious acidity Davis brings to her lines and her own nervous presence. Then again, Cromwell's direction has a certain stiltedness about itself that fails to come through at times -- he tries to fill in some space (whenever Davis is not there) with dissolves and montages indicating the passing of time (a calendar superimposed over a changing Frances Dee). All much in the style back then. This was before technicalities and complicated camera angles came into being, and in essence, the visual story is a simplified, bare essentials translation of the Somerset Maugham's novel -- which is saying a lot, since at 600 pages, ""Of Human Bondage"" would have been indeed hard to film even then.<br /><br />Storywise, it feels that Philip Carey may be something of a glutton for punishment, since there is no discernible, sexual attraction between he and Mildred and to compound that, Mildred never hides her displeasure from the get-go. Howard's performance never seems to go through much external emotion -- his eyes are constantly sad, his expression never veers too far away from lost (he could almost be a distant cousin to William Hurt in ""The Accidental Tourist"" -- dejected, hurt, and absolutely passive), but this is possibly a part of his character and the reason he fails to see that other women (played by Kay Johnson and Frances Dee) are making themselves vulnerable to unrequited affections. Interestingly, Johnson's Norah, once she realizes Carey will never fall for her, is the one who sums the story up with her observation that people are bound to other people -- she is bound to Carey as Carey is bound to Mildred, and Mildred herself is bound to Miller (or men who fit the role of provider). In her short but memorable scene, she's the one who holds the essence of the story's moral.",positive
"I first saw this in the theater in 1969 when I was 9 and immediately fell in love with it. I'm sad that Sony has not seen fit to release this on DVD (""but one day, one day...""). I recently obtained a VHS copy of this on eBay and sat down to watch it 39 years later. I'm happy to report it still stands the test of time. The acting is spot-on, John Williams' orchestrations are lush and Leslie Bricusse's songs memorable (""When I Am Older,"" ""You and I,"" ""Fill the World With Love,"" ""London Is London"" are just a few of the standouts. And not enough can be said about Peter O' Toole, Petula Clarke, Michael Redgrave and Michael Bryant's acting. Terence Rattigan deserves an A+ for his update of the James Hilton story. There really is nothing not to like about this film. It's a good cheer-me-up selection. Glad they have released the original soundtrack as a three-CD set with lots of extras. Wish Sony would hurry up and do the same with the film.",positive
"Can I just start by saying I'm a fan of bad movies. And this is a really bad movie. It states on the front 100 passengers, 3000 snakes, but I think it's more accurate to say 12 passengers and about 20 snakes.<br /><br />The snakes don't do anything particularly interesting, the whole movie in fact just blunders on with little happening. Although there is occasionally a great gore shot of pulsating arms and green goo puke (bad movies have to have green goo don't they?).<br /><br />But then the ending comes along and will quite literally smack you off you seat in hysteria. and for that, this movie gets a boost up to a 2* rating.<br /><br />There are certain movies about in the world that you will want to show to your friends, just so you can watch there reaction when a certain event happens in them.<br /><br />For example The arrival of 'Big Man' in R Kelly's 'trapped in the closet' 'The LINE' in 'Shark Attack 3' (you'll know it when you hear it) The arrival of the mama shark in 'Shark Attack 3' Almost every scene of 'troll 2' The ending of 'Dracula 3000' (just for utter disbelief and confusion) and the end of this movie proudly sits in this category. It's worth sitting through just for that. So get drunk, stoned, whatever your poison is and watch this movie with some mates.<br /><br />Quite simply, if you like bad movies, get this, but don't get it confused with 'Snakes on a plane' ... there's no relation.<br /><br />And don't pay more than a fiver for it either ....",negative
"Sitting in a big wing chair with a huge book in his lap, the one and only Bela Lugosi looks into the camera and, in a dreadful vocal delivery that sounds as if he were mocking a reading of Shakespeare, intones sloooow-ly: ""Man's constant groping of things unknown, drawing from the endless reaches of time, brings to light many startling things; (snicker); startling?, because they seem new (Lugosi's eyes now bulging, with raised eyebrows, and mouth sneering, he continues) but most are not new, the signs of the ages"" (cue a visual of lightening, accompanied by the sound of thunder which then continues to rumble for an astonishing 86 seconds).<br /><br />And so begins what is arguably the worst film ever made. This ""movie"" almost defies description. Told in semi-docudrama style with an unseen narrator explaining the plot ... such as it is ... the story revolves around the vicissitudes of a man named Glen (Ed Wood, Jr.) who cross-dresses; hence the reference to Glenda. The film has no real structure. Instead, it consists mostly of a random assortment of vignettes that may ... or may not ... relate to Glen or to the cross-dressing motif. One long sequence consists of some unknown woman wriggling on a sofa, followed by a man whipping a woman in what we would today refer to as S&M.<br /><br />Then, at odd moments Bela reappears, for no apparent reason, and babbles more inane dialogue, like: ""When he's wrong because he does right, and when he's right because he does wrong; pull the string, dance to that."" Huh?<br /><br />About twenty percent of the film's visuals consist of stock footage, accompanied by a VO that relates to the story motif but not the visuals. Hence, we see stock footage of: bustling city streets, freeway traffic, a thunderous herd of buffalo, and a playground full of kids. But it gets worse. In a film about cross-dressing, we have 58 consecutive seconds of stock footage of a foundry furnace making hot steel, and 84 consecutive seconds of battle scenes from WWII.<br /><br />Even the simplest items are botched. In one scene we see a newspaper headline that reads ""Man Nabbed Dressed as Girl"". Underneath the headline, which has clearly been glued or pasted on, the article is about ... taxes. In one of my favorite scenes, an off-screen woman spouts out: ""airplanes, why it's against the creator's will"", in a voice that sounds like she's just inhaled helium.<br /><br />Except for the performance of Lyle Talbot, the acting is uniformly horrendous. Production design is cheap looking and drab; (but you gotta love that tacky wallpaper). The editing is sloppy. Most of the background music is suitable only for 1950 style elevators. The B&W cinematography has way too much contrast. And the costumes look like something that came from a thrift store.<br /><br />This film is so bad it makes ""Plan 9 From Outer Space"" look like ""Citizen Kane"", by comparison. I just don't know how one could make a film any worse than Ed Wood's ""Glen Or Glenda"". But thankfully, it's got Bela Lugosi in it. Every time he opened his mouth, and gazed into the camera with those big, bulging eyes, I about fell on the floor laughing.",negative
"I may not have the longest of attention-spans, but this is the second movie I have refused to see all the way through, and I even bought it on DVD because of its ""classic"" status. <br /><br />At first, I thought that the director was playing a big joke, so I kept waiting for a resolution, something to laugh at, something to keep my interest, but this resolution never came. Rather, the writing was laughably amateurish, the movie dragged on and felt disjointed, like someone cut a TV series to feature-length. The Academy must have been on drugs when they nominated this movie for no less than eight Oscars.<br /><br />Once again, I repeat myself. This is the second movie I have refused to watch all the way through. The first was ""Exterminator"". I hope this gives you an indication of how bad it really is. 1/10",negative
"It's now 2005 and 15+ years since this cartoon first aired. I haven't actually watched it seriously or closely in about 10 years. Now that I'm an adult in my 30s I can look back with a serious eye as I watch the episodes again.<br /><br />In concept, the cartoon is partly an homage to the classic Looney Tunes but also its own original show. There are a few episodes that are structured like the old cartoons. For example, there is a singer that attacks Buster and so he exacts revenge on this singer's concert -exactly like the old Bugs Bunny cartoon. The ensuing cartoon is similar to Looney Tunes, just in a different era. If you look at the old Looney Tunes, they did an awful lot of stuff exactly like Tiny Toons did. The old Looney Tunes made a lot of social commentary and parody. There were celebrity impersonations. There were a lot of corny period jokes, slang, and dialog. The comedy was surreal and wacky. You can say this exactly for Tiny Toons as well. The comedy styling is 'spiritually' the same. Most definitely a throwback to the classics which hadn't been done well (if at all) in cartoons in the decades prior to this show. We recognize the cultural references in Tiny Toons and we can roll our eyes when something we don't like comes up. But the reason we don't think Looney Tunes are corny is because we weren't alive back in the 40s. Also, Looney Tunes was original back in those days but today cartoons are rehashed over and over. So it's easy to perceive Tiny Toons in an unfair light due to our exposure to current events and our overexposure to cartoons in general.<br /><br />There certainly are differences in many respects - the timing, the delivery, and obviously the duration of the shows. They are two different styles from two different periods, being done under two very different circumstances - Looney Tunes being made for adults in theaters and Tiny Toons being made for kids watching TV. Even so, they did a good job making an original show with original gags AND still paying homage to and patterning after the comedy stylings of the old Looney Tunes.<br /><br />Since Tiny Toons had a lot more time to play with, they had some genuine moments of great animated inspiration. You only have to look at episodes like 1 minute to 3, the baby Plucky toilet episode.. there are so many more. For example, one of the best comedy dialog exchanges ever animated is in ThirteenSomething when Babs and Buster are on the phone in a split screen, hoping each misses the other. The miscommunication is spectacular. Notably, the character development in this episode and in several others (usually the ones penned by Deanna Oliver or Sherri Stoner) is rather good. The female characters were taken seriously as personalities and developed, unusual considering the opposite is usually true for cartoons of that period.<br /><br />This was the first modern cartoon that had lots of both pop culture-referential and self-referential humor. This was way ahead of its time. Tiny Toons really opened up a door for writers to take comic liberties that are so common in the cartoons today, instead of doing the boring old crap we endured as 80s kids. Yes, I loved Transformers and Thundercats, but Tiny Toons totally jumped away from all that. It was a breath of fresh air. Bakshi's New Adventures of Mighty Mouse may have been a precursor, but Tiny Toons made this surreal style of comedy cartoon writing a real success.<br /><br />As a kid I totally overlooked some jokes. For example, one episode is an homage to the Marx Brothers that I completely ignored as a teen. Now I have a newfound respect for it. There are so many inspired gags that I never noticed that are genuinely brilliant. It's that kind of comedy that makes me think of Looney Tunes and Family Guy. I NEVER noticed that kind of comedy as a kid. I've been thinking this for most episodes I watched recently.<br /><br />You'd notice these kinds of things if you actually WATCHED the show. Unlike some other reviewers here who I know are unfairly judging it, I've seen all the episodes and have thought about them thoroughly, exposed both as a kid and as an adult.<br /><br />You can tell there was an awful lot of care taken with the voice acting too. I'm not talking about just the main characters, but the side characters were done really well and creatively too. But back to the main characters, some of the main characters were brilliant. Tress MacNeille had, in my opinion, her best performances in this cartoon. She hasn't been the same since. Rob Paulsen also did some incredible stuff here, too.<br /><br />This is all not to say the show didn't have some bad episodes. It had plenty. It had a lot of mediocre ones, too. But by far it certainly had a lot of genuinely funny episodes. Especially back when it first aired it was actually funny to watch.<br /><br />Out of 10 I give the show an 8.5 - and kudos for pushing the envelope and breaking down the doors leading to a new era of cartoons.",positive
"I went to see Random Hearts with 3 friends, and at first, I thought maybe it was just me who wasn't enjoying the movie. After all, I didn't like As Good As it Gets and that movie won all sorts of awards. Well, it wasn't just me...none of my friends liked it either. It was unbelievable slow, much like getting teeth pulled. The only action that is in the movie is what is in previews. We didn't walk out of the theatre because we all assumed something more would happen. We weren't as smart as the 7 or 8 people who did walk out. I have never walked out on a movie in my life, but I definitely should have. This is all tough for me to write, considering I am relatively easy to please when it comes to movies. It takes a lot for me to think a movie is awesome, but not much for me to just like it. This movie didn't even come close in the like category. Not only was the movie about 2 hours too long, but it was like two separate trite stories in one, but they weren't smoothly sewn together. Plus, the ""soundtrack"" if you could even call it that was so annoying. Like Seinfeld has the same riff that is played over and over again (difference being that i like Seinfeld)..this movie had this jazz riff that it kept playing, which sounded highly inappropriate at times, especially when people were dealing with the deaths of the plane crash. Hard to explain what I mean, but trust me it was awful. I cannot say enough to make people not waste their money. After I left the theatre, I honestly wanted to write to the movie company and demand my $7 back..sheeesh, I could have gone bowling or something for that money.",negative
"I have been an avid Jane Austen fan for many years. I had never seen this adaptation, so when I had heard of it, I came here and read all the excellent reviews. On that basis I eagerly ordered it from Netflix. What a cruel disappointment! They have taken one of the most subtle and bright comic novels and made it dull. Each character seems to have been dealt a single facial expression, a single tone upon which to base their flat characters. Although this adaptation seems to have used every word that Jane Austen wrote, they appear to have been passed around to characters in a random fashion. Even though it was done as a miniseries, this adaptation manages to confuse and feel as rushed as if it had been done as a movie of the week.<br /><br />Mr. Bennett too harsh, Mrs. Bennet just a chattering chipmunk, Mr. Darcy as lifeless as a nutcracker, the Bennett girls almost indistinguishable and Mr. Wickham a man who no one would look twice at - hardly the appealing cad! I'm quite put out!",negative
"Gender Bender sexes things up a bit for the x-files. This episode has an interesting premise, a good story, but an ending that is wanting. Gender Bender is also the x-files debut for actor Nicholas Lea, better known as Alex Krycek. In this episode he plays Michael, a man attacked by one of ""The Kindred"". You need to see this episode just to see Nic Lea's less than spectacular beginning. An interesting thing about the Kindred's ""power of seduction"". When Marty does it to his victims, they become turned onto him/her. However, when Andrew seduces Scully, she only because disoriented and groggy, and does not become attracted to Andrew. Maybe it's because Marty has more experience at it than Andrew. This episode reminds me of why it would sometimes be miserable to film up in British Columbia. Throughout the episode it is so wet, soggy, and muddy, it could not have been that much fun. Despite the disappointing ending, Gender Bender is still a decent episode to view.",positive
"Wonderful family film that should be a staple at Christmas time. It's a mystery to me why it isn't. A true lost film that I first encountered, flickering away on my old 19"" black and white RCA, when the Million Dollar Movie was still in vogue on Channel 9 in New York City. This Rudolph Mate directed fantasy should be nestled under everyone's Christmas tree. But it has never been released on home video. Too bad. I believe I saw part of it on AMC a few years ago, before they cut many of their older films from the rotation. TCM should take up the slack and play it at Easter or on Christmas Eve. Any movie with Santa, Aunt Bee, the Hostess Cupcake Lady, and an actor with the first name King, can't be bad. Ann Blyth as ""Sally"" is a bundle of energy. During her school years, she rushes over to the chapel to pray for St. Ann to help and give guidance to her mixed-up and financially strapped family. It works. So, after she graduates, she places a statue of St. Ann in her own bedroom. At one point the entire O'Moyne residence is moved to another address. I think this was done to put an end to a neighbor dispute between the O'Moynes and the dastardly fellow next door. Blyth is cute as a button. Edmund Gwen can play the reclusive grandfather in his sleep. All-in-all, this is a satisfying movie experience.",positive
